COURSE CODE,COURSE TITLE,MAJOR(S) REQUIRED,REQUIRED OPTIONS,DIVISION,PROGRAM,CREDIT HOURS,SOURCE OF CLOs,DATE OF UPDATED RECORDED CLOs,,,TIL,SQL,INQ,ANL,INT,CRE,COM,COL,GCU,DEI,INFO LIT,SCI LIT,TECH LIT,QUANT LIT
ASU-200,Policy&Govern Sustainability,ASUS,,SOI,ASUS,3,Curriculog,New 4/28/2023,,,2,1,3,3,2,1,2,1,2,2,2,1,1,1
ASU-250,Sustainability and Globalization,,,SOI,ASUS,3,,ENP,,,1,1,2,3,2,0,1,1,3,2,,,,
ASU-270,Food Systems,,,SOI,ASUS,3,,ENP,,,1,1,3,3,3,0,1,0,3,1,,,,
ASU-290,Campus Community,,,SOI,ASUS,3,,,,,,,,,,,,,,,,,,
ASU-300,Placed-Based Sustainability,,,SOI,ASUS,3,,ENP,,,1,1,2,3,3,1,2,1,1,2,,,,
ASU-310,"Equity, Justice, and Sustainability",,,SOI,ASUS,3,,ENP,,,2,1,2,3,3,2,2,1,3,3,,,,
ASU-330,Wildlife Ecology,,,SOI,ASUS,3,,Fall 2023,,,,,2,2,2,0,1,0,0,1,2,3,1,2
ASU-390,Professional Skills in Sustainability,,,SOI,ASUS,3,,,,,,,,,,,,,,,,,,
ASU-410,Ecological Economics,,,SOI,ASUS,3,,ENP,,,3,3,2,3,3,1,1,1,2,3,,,,
ASU-450,Decision-Making for Sustainability,,,SOI,ASUS,3,,ENP,,,3,3,2,3,3,1,1,1,2,2,,,,
ASU-490,Sustainability Applications,,,SOI,ASUS,3,,ENP,,,2,1,3,3,3,2,2,1,1,2,,,,
BDS-117,Introduction to Broadcast Writing,,,CCM,BRMP,3,https://champlain.curriculog.com/proposal:2635/form,2022SP,,,1,0,1,1,0,2,3,2,2,2,,,,
BLW-140,Business Law,,,SSB,BUS,3,Recent Syllabi,New 8/10/2020,,,1,1,2,2,2,1,1,1,1,1,,,,
BRD-110,Video Storytelling,"BRMP, DHMS, MKCM",,CCM,BRMP,3,,,,,,0,,,,,2,2,0,,,,,
BRD-117,Introduction to Broadcast Writing,BRMP,,CCM,BRMP,3,,SP 23,,,1,0,1,1,0,2,3,2,2,2,,,,
BRD-130,Audio Production,"BRMP, GMSD",,CCM,BRMP,3,,,,,2,,,,,,2,,,,,,,
BRD-140,Radio Production I,BRMP,,CCM,BRMP,3,College-approved curriculum,,,,2,0,2,2,2,3,2,2,2,,,,,
BRD-217,Brd Wrtng & Prod,BRMP,,CCM,BRMP,3,https://champlain.curriculog.com/proposal:2636/form,2022SP,,,2,0,1,1,2,2,3,3,2,1,,,,
BRD-230,Production of Social Media,"BRMP, MKCM",,CCM,BRMP,3,,,,,,,2,2,2,,2,2,2,,,,,
BRD-240,Podcasting,,,CCM,BRMP,3,https://champlain.curriculog.com/proposal:2628/form,2022SP,,,3,0,1,2,2,3,3,3,2,2,,,,
BRD-245,Video Field Production,,,CCM,BRMP,3,,,,,,,,,,,,,,,,,,
BRD-247,Multi-Cam Production,BRMP,,CCM,BRMP,3,https://champlain.curriculog.com/proposal:2627/form,2022SP,,,2,0,0,1,2,2,3,3,2,1,,,,
BRD-250,Show Producing I,BRMP,,CCM,BRMP,3,College-approved curriculum,3/26/18,,,1,0,2,2,2,2,3,3,3,2,,,,
BRD-330,Advanced Audio & Sound Design,"BRMP, GMSDGMSD",,CCM,BRMP,3,,,,,2,,,2,2,2,,,0,,,,,
BRD-347,Advanced Field Production,,BRMP,CCM,BRMP,,https://champlain.curriculog.com/proposal,2022SP,,,2,0,0,2,2,3,3,2,3,2,,,,
BRD-350,Show Producing II,BRMP,,CCM,BRMP,3,College-approved curriculum,3/26/18,,,2,1,2,2,2,2,2,2,2,2,,,,
BRD-380,Truth in the Era of Fake News,,,CCM,BRMP,3,https://champlain.curriculog.com/proposal:2638/form,2022SP,,,2,0,3,3,2,0,3,2,3,3,,,,
BRD-400,Program Development & Production,BRMP,,CCM,BRMP,3,https://champlain.curriculog.com/proposal:2637/form,3/31/2023,,,3,0,2,3,3,3,3,3,2,2,,,,
BRD-445,Client-Based Production,BRMP,,CCM,BRMP,3,,,,,0,0,2,2,2,2,2,2,2,2,,,,
BRD-450,Media History: The Cultural Impact of Television,,BRMP,CCM,BRMP,3,,,,,0,0,2,2,2,1,3,1,2,2,,,,
BUS-110,Biz & Entrepreneurial Mindset,"ACCT, FINA, GMBP, GMPG, MKTG",,SSB,BUS,3,College Approved,New 4/28/2023,,,0,0,3,2,3,3,2,2,1,1,0,0,1,0
BUS-120,Int'l Bus. & Macroeconomics,"ACCT, FINA, GMBP, GMPG, APDV",,SSB,BUS,3,College Approved,spring 2016,,,1,0,2,2,2,1,2,2,1,,,,,
BUS-210,Corporate Social Responsibility,"ACCT, FINA, GMPG",MKTG,SSB,BUS,3,College Approved,1/1/2012,,,0,0,3,2,1,0,2,1,3,,,,,
BUS-310,International Bus. and Macroeconomics,"ACCT, FINA, GMPG, MKTG",,SSB,IBUS,3,Syllabus,9/1/2015,,,2,1,2,3,3,0,2,1,3,,,,,
CCC-310,Integrative Film Practices,FILM,,CCM,FILM,1,,,,,1,0,2,2,3,1,3,1,3,,,,,
CCC-410,College Capstone,,,CCM,,5,,,,,3,3,3,3,3,3,3,3,3,,,,,
CCC-410ACC,Accounting Capstone,,,SSB,ACCT,,Recent Syllabi,1/1/2016,,,1,2,0,3,2,3,3,2,2,,,,,
CCC-410ANM,,,,CCM,ANIM,,,,,,,,,,,,,,,,,,,
CCC-410ASU,Applied Sustainability Capstone,,,SOI,ASUS,,,ENP,,,,,,,,,,,,2,,,,
CCC-410BRD,Broadcast Media Capstone,,,CCM,BRMP,4,,,,,3,3,3,3,3,3,3,3,3,3,,,,
CCC-410COM,Communication Capstone,,,CCM,COMM,4,Recent Syllabi,fa2016,,,1,0,2,1,2,2,3,2,1,,,,,
CCC-410CRE,Creative Media Capstone,,,CCM,CREM,4,,,,,3,1,3,3,3,3,3,1,2,2,,,,
CCC-410CRJ,Crimincal Justice Capstone,,,SOI,CRIM,3,Recent Syllabi,New 3/31/2023,,,3,0,3,3,2,1,3,1,2,1,,,,
CCC-410EDU,Education Capstone- Student Teaching,,,SOI,EDUC,3,Recent Syllabi,2016FA,,,0,0,3,3,3,1,3,3,3,,,,,
CCC-410EGD,College Capstone in Game Dev.,,,GameStudio,GameStudio,5,,FA 23,,,,,3,3,3,3,3,3,3,3,3,0,3,2
CCC-410ENP,College Capstone,,,SOI,ASUS,,,SP 18,,,1,1,3,3,3,0,2,0,1,,,,,
CCC-410FIN,Finance Capstone,,,SSB,FINA,5,Proposal ,,,,2,3,2,3,3,1,2,2,0,,,,,
CCC-410FLM,Filmmaking Capstone,,,CCM,FILM,4,,,,,3,0,2,1,3,3,3,2,2,,,,,
CCC-410GAA,Game Art Capstone,,,CCM,GART,5,,,,,3,3,2,0,3,3,3,3,3,3,3,3,3,3
CCC-410GMD,Game Design Capstone,,,CCM,GDES,,,,,,3,3,3,3,3,3,3,3,3,,,,,
CCC-410GMS,Game Sound Capstone,,,CCM,GMSD,5,College-approved curriculum,,,,3,1,3,3,3,2,3,3,3,3,3,0,3,2
CCC-410INN,,,,CCM,INN,,,,,,,,,,,,,,,,,,,
CCC-410INT,,,,SSB,IBUS,,Recent Syllabi,fall 2016,,,2,2,3,3,2,1,1,1,3,,,,,
CCC-410ITS,ITS Capstone Design,,,ITS,CNCS,2,Recent Syllabi and/or reviewed assignments,,,,3,3,3,3,3,3,3,2,0,1,,,,
CCC-410IXD,Interaction Design Capstone,,,CCM,IXDS,,,,,,3,1,3,3,3,3,3,3,2,1,,,,
CCC-410L,Capstone Studio,,,CCM,,,,,,,,,,,,,,,,,,,,
CCC-410LEG,College Capstone: Law,,,SOI,LAW,,,SP 22,,,3,0,3,3,0,1,3,1,1,1,,,,
CCC-410MKC,Marketing Communication Capstone,,,CCM,MKCM,,,,,,2,0,3,3,3,3,3,3,2,2,,,,
CCC-410MKT,Marketing Capstone,,,SSB,MKTG,3,Recent Syllabi,New 3/31/2023,,,3,0,2,2,3,2,0,0,1,1,,,,
CCC-410MTH,Math Capstone Design,,,ITS,MATH,2,,,,,2,3,2,1,2,1,3,1,0,0,,,,
CCC-410PSY,Psychology Capstone,,,SOI,PSYC,3,Recent Syllabi,New 6/27/2017,,,2,1,3,2,3,3,1,0,1,0,,,,
CCC-410SOI,College Capstone SoSI,,,SOI,,,,,,,,,,,,,,,,,,,,
CCC-410SWK,Social Work Capstone,,,SOI,SOWK,3,Recent Syllabi,New 10/24/2019,,,2,2,2,1,3,3,3,1,1,2,,,,
CCC-410WRT,Writing and Publishing Capstone,,,CCM,PWRT,,,,,,1,0,3,3,3,3,3,2,1,,,,,
CCC-411,,,,ITS,CNCS,,College-approved curriculum,,,,3,0,3,3,0,3,3,0,3,,,,,
CCC-411,,,,ITS,MATH,,,,,,0,3,2,1,2,1,3,1,1,1,,,,
CCC-411FIN,College Capstone - Finance,,,SSB,FINA,3,,,,,2,3,2,3,3,1,2,2,0,,,,,
CCC-412DDL,DDL Capstone III,,,AAO,,,,,,,,,,,,,,,,,,,,
CCC-412ITS,ITS Capstone Snr Project:CSIN,,,ITS,CNCS,3,Recent Syllabi and/or reviewed assignments,,,,3,3,3,3,3,3,3,2,1,,,,,
CCC-412IXDS,Capstone Snr Project:IXDS,,,CCM,IXDS,,,,,,3,1,2,2,3,3,3,3,2,2,,,,
CCC-412MTH,ITS Capstone Snr Project:MATH,,,ITS,MATH,3,,,,,2,3,2,1,2,1,3,3,0,1,,,,
CCM-491,Comm & Media Internship,,,CCM,,1,,FA 17,,,0,0,0,1,2,0,3,2,0,,,,,
CCM-492,Comm & Media Internship,,,CCM,,2,,FA 17,,,0,0,0,1,2,0,3,2,0,,,,,
CCM-493,Comm & Media Internship,,,CCM,,3,,FA 17,,,0,0,0,2,3,0,3,2,0,,,,,
CCM-493BRMP,Comm & Media Internship,"BRMP, MKCM",,CCM,BRMP,3,College-approved curriculum,,,,,,,,2,2,2,2,,,,,,
CCM-493IXDS,Comm & Media Internship,,FILM,CCM,IXDS,3,Recent Syllabi,,,,0,0,1,1,2,3,3,2,3,2,,,,
CCM-493PWRT,Comm & Media Internship,,,CCM,PWRT,3,,,,,0,0,2,0,3,2,2,0,0,,,,,
CCM-494,Comm & Media Internship,,,CCM,,4,,FA 17,,,0,0,0,1,2,0,3,2,0,,,,,
CCM-495,Comm & Media Internship,,,CCM,,5,,FA 17,,,0,0,0,1,2,0,3,2,0,,,,,
CCM-496,Comm & Media Internship,,,CCM,,6,,FA 17,,,0,0,0,1,2,0,3,2,0,,,,,
CCX-105,Academic Reset,,,,,0,,,,,,,,,,,,,,,,,,
CIT-130,,,,ITS,CNCS,3,Recent Syllabi and/or reviewed assignments,,,,0,0,1,3,2,0,1,0,0,,,,,
CMP-101,Champ 101,,,,,0,,,,,,,,,,,,,,,,,,
COM-100,"Human Communication, Foundat.","ASUS, GMBP",,CCM,COMM,3,Recent Syllabi,fa2016,,,,,,,,,,,,,,,,
COM-110,Public Speaking,"DATA, LAW",BRMP,CCM,COMM,3,Recent Syllabi,fa2016,,,2,0,1,3,1,2,3,2,1,,,,,
COM-120,Media and Society,"BRMP, MKCM, PWRT",,CCM,MKCM,3,Recent Syllabi,09/01/2016,,,3,0,3,2,1,0,3,0,1,1,,,,
COM-210,Principles of Public Relations,MKCM,,CCM,MKCM,3,Recent Syllabi,1/25/2021,,,1,0,2,2,3,2,3,1,2,1,,,,
COM-220,Communication and Ethics,,BRMP,CCM,COMM,3,Recent Syllabi,fa2016,,,1,0,3,2,3,1,3,0,2,,,,,
COM-230,Small Group Communication,,,CCM,IXDS,3,Recent Syllabi,,,,0,0,1,0,0,0,3,3,1,2,,,,
COM-270,Intercultural Communication,,,CCM,COMM,3,Recent Syllabi,fa2016,,,0,0,3,2,2,0,3,0,3,,,,,
COM-305,Creativity & Conceptual Development,,,CCM,COMM,3,Recent Syllabi,fa2016,,,1,0,2,2,3,3,3,2,0,,,,,
COM-310,Persuasion,,,CCM,COMM,3,Recent Syllabi,fa2016,,,1,0,1,2,1,3,3,2,0,,,,,
COM-311,Writing for Public Relations,MKCM,,CCM,MKCM,3,,,,,3,0,2,3,3,3,3,2,1,1,,,,
COM-315,Contemporary Media Issues,,,CCM,COMM,3,Recent Syllabi,fa2016,,,2,0,3,3,3,3,2,2,1,,,,,
COM-325,Social Media Influencer,,,CCM,MKCM,3,,,,,,,,,,,,,,,,,,
COM-350,Conflict Management,,,CCM,MKCM,3,,,,,,,,,,,,,,,,,,
COM-355,Prof. Communication Practices,"BRMP, MKCM",,CCM,MKCM,1,,,,,1,0,2,0,0,1,1,0,0,0,,,,
COM-360,Social Interaction in the Digital Age,,,CCM,COMM,3,Recent Syllabi,fa2016,,,0,0,2,2,2,0,2,1,1,,,,,
COM-365,Legal Issues in Communication,MKTG,BRMP,CCM,COMM,3,,,,,,,,,,,,,,,,,,
COM-400,Public Relations Campaign Dev,MKCM,,CCM,MKCM,3,,,,,3,1,3,3,3,3,3,3,1,1,,,,
COM-410,Crisis Communication,,,SSB,MKCM,3,,FA 17,,,1,1,2,3,1,2,3,2,1,,,,,
COM-475,Communication Field Practicum,MKCM,,CCM,MKCM,3,,,,,1,0,2,0,0,2,3,0,0,0,,,,
COM-490,Media Communication Internship,,,CCM,COMM,3,Recent Syllabi,fa2016,,,0,0,2,2,1,2,3,2,0,,,,,
COR-101,Navigating Higher Education,,,COR,CORE,3,,,,,1,0,2,3,2,0,1,1,1,3,1,0,0,0
COR-102,FYI: Reading & Writing,,,COR,CORE,3,,,,,2,0,3,3,2,0,3,0,1,2,2,0,0,0
COR-103,Navigating Information,,,COR,CORE,3,,,,,3,0,1,1,1,0,3,2,0,2,3,0,0,0
COR-104,FYI: Making/Doing,,,COR,CORE,3,,,,,1,0,1,1,3,2,2,3,0,1,1,0,0,0
COR-201,Science Meaning Making,,,COR,CORE,3,,,,,2,3,3,3,2,1,0,0,1,2,2,3,1,1
COR-202,Interdisciplinary Perspectives,,,COR,CORE,3,,,,,2,0,3,2,3,1,1,3,1,1,2,0,0,0
COR-203,Culture Meaning Making,,,COR,CORE,3,,,,,2,0,2,3,2,1,3,0,3,3,2,0,0,0
COR-204,Theoretical Perspectives,,,COR,CORE,3,,,,,1,0,3,3,2,0,1,0,3,3,1,0,0,0
COR-285,Integrative Thinking Seminar,,,COR,CORE,3,,FA 22,,,1,0,3,2,3,1,3,1,1,3,,,,
COR-301,Connecting Place & Identity,,,COR,CORE,3,,,,,1,1,1,2,2,0,3,0,3,2,1,0,1,1
COR-302,Field Methods,,,COR,CORE,3,,,,,1,2,2,3,2,0,2,1,2,3,1,2,0,1
COR-303,Past&Present,,,COR,CORE,3,,,,,1,0,1,2,2,0,1,0,3,3,1,0,0,0
COR-304,Digital Methods,,,COR,CORE,3,,,,,1,1,2,3,1,0,1,0,1,2,1,0,3,1
COR-470,Global Studies Senior Seminar,,,COR,CORE,3,,,,,,,,,,,,,,,,,,
CRE-100,Making Art,CREM,,CCM,CREM,3,,,,,0,0,3,1,1,3,2,1,1,1,,,,
CRE-125,Integrated Studio Foundations,CREM,,CCM,CREM,3,,New 1/7/2020,,,3,1,1,1,2,2,3,3,0,1,,,,
CRE-125L,Integrated Found. - Studio,CREM,,CCM,CREM,0,,FA 20,,,3,1,1,1,2,2,3,3,0,1,,,,
CRE-180,Making Culture,CREM,,CCM,CREM,3,,New 8/25/2019,,,1,0,3,2,2,1,2,0,2,2,,,,
CRE-200,Creative Media Salon I,,,CCM,CREM,1,,,,,0,0,3,3,3,3,1,2,3,,,,,
CRE-225,Art and Social Engagement,CREM,,CCM,CREM,3,,New 1/7/2020,,,2,0,3,3,2,3,3,3,1,2,,,,
CRE-225L,Art & Social Engage. Studio,,,CCM,CREM,0,,FA 20,,,2,0,3,3,2,3,3,3,1,2,,,,
CRE-240,Creative Media Prof Pract I,CREM,,CCM,CREM,1,,New 1/7/2020,,,2,0,3,3,2,0,3,0,0,1,,,,
CRE-250,Creative Media Projects I,,,CCM,CREM,3,,,,,0,0,2,1,2,3,2,1,1,1,,,,
CRE-250L,Creative Media Proj I - Studio,,,CCM,CREM,0,,FA 20,,,,,,,,,,,,,,,,
CRE-300,Creative Media Salon II,,,CCM,CREM,2,,,,,0,0,3,2,3,1,1,0,0,,,,,
CRE-310,Art and Global Perspectives,CREM,,CCM,CREM,3,,New 8/25/2019,,,2,0,2,2,3,3,3,1,3,3,,,,
